t,q_FL_abad,q_FL_thigh,q_FL_calf,q_FR_abad,q_FR_thigh,q_FR_calf,q_RL_abad,q_RL_thigh,q_RL_calf,q_RR_abad,q_RR_thigh,q_RR_calf,tau_FL_abad,tau_FL_thigh,tau_FL_calf,tau_FR_abad,tau_FR_thigh,tau_FR_calf,tau_RL_abad,tau_RL_thigh,tau_RL_calf,tau_RR_abad,tau_RR_thigh,tau_RR_calf,base_z
0.0000,-0.41895,-0.06628,-0.67736,0.57894,-0.05400,-0.96405,-0.51663,0.37966,-1.26334,0.44119,0.34113,-0.85956,0.381,-0.368,-0.272,-0.137,-0.390,-0.313,0.274,0.103,-0.295,-0.349,0.183,-0.197,0.8500
0.0050,-0.41903,-0.06624,-0.67716,0.57895,-0.05396,-0.96380,-0.51668,0.37953,-1.26297,0.44125,0.34100,-0.85926,0.065,-0.035,-0.130,-0.011,-0.040,-0.170,0.041,0.086,-0.250,-0.056,0.088,-0.189,0.8500
0.0100,-0.41923,-0.06609,-0.67691,0.57900,-0.05378,-0.96347,-0.51682,0.37939,-1.26254,0.44143,0.34083,-0.85895,0.132,-0.105,-0.157,-0.030,-0.123,-0.201,0.097,0.087,-0.261,-0.121,0.106,-0.186,0.8500
0.0150,-0.41951,-0.06584,-0.67662,0.57907,-0.05349,-0.96311,-0.51704,0.37924,-1.26210,0.44170,0.34063,-0.85865,0.183,-0.159,-0.178,-0.046,-0.185,-0.224,0.138,0.087,-0.264,-0.169,0.119,-0.183,0.8500
0.0200,-0.41987,-0.06552,-0.67630,0.57916,-0.05312,-0.96271,-0.51731,0.37910,-1.26165,0.44203,0.34042,-0.85834,0.222,-0.201,-0.195,-0.059,-0.231,-0.241,0.167,0.087,-0.267,-0.205,0.129,-0.181,0.8500
0.0250,-0.42028,-0.06514,-0.67596,0.57928,-0.05269,-0.96229,-0.51761,0.37895,-1.26120,0.44241,0.34019,-0.85804,0.251,-0.233,-0.207,-0.070,-0.264,-0.254,0.187,0.086,-0.269,-0.232,0.137,-0.180,0.8500
0.0300,-0.42073,-0.06472,-0.67560,0.57940,-0.05222,-0.96185,-0.51794,0.37881,-1.26076,0.44282,0.33996,-0.85774,0.274,-0.258,-0.217,-0.078,-0.289,-0.263,0.201,0.086,-0.270,-0.253,0.142,-0.179,0.8500
0.0350,-0.42121,-0.06427,-0.67523,0.57954,-0.05171,-0.96141,-0.51829,0.37867,-1.26030,0.44327,0.33972,-0.85745,0.291,-0.276,-0.224,-0.084,-0.308,-0.270,0.211,0.086,-0.271,-0.268,0.147,-0.178,0.8500
0.0400,-0.42171,-0.06379,-0.67485,0.57969,-0.05118,-0.96095,-0.51865,0.37852,-1.25985,0.44373,0.33947,-0.85715,0.304,-0.291,-0.230,-0.089,-0.321,-0.275,0.218,0.086,-0.271,-0.279,0.150,-0.177,0.8500
0.0450,-0.42223,-0.06329,-0.67446,0.57984,-0.05063,-0.96049,-0.51902,0.37838,-1.25940,0.44420,0.33921,-0.85686,0.313,-0.302,-0.234,-0.093,-0.331,-0.279,0.223,0.086,-0.271,-0.287,0.152,-0.177,0.8500
0.0500,-0.42276,-0.06277,-0.67406,0.58000,-0.05007,-0.96002,-0.51940,0.37824,-1.25895,0.44469,0.33896,-0.85656,0.320,-0.310,-0.237,-0.096,-0.338,-0.282,0.226,0.086,-0.272,-0.293,0.154,-0.176,0.8500
0.0550,-0.42330,-0.06225,-0.67366,0.58016,-0.04950,-0.95955,-0.51978,0.37809,-1.25849,0.44518,0.33870,-0.85627,0.325,-0.316,-0.240,-0.098,-0.343,-0.284,0.228,0.085,-0.272,-0.297,0.155,-0.176,0.8500
0.0600,-0.42385,-0.06172,-0.67326,0.58033,-0.04892,-0.95907,-0.52016,0.37795,-1.25804,0.44568,0.33844,-0.85598,0.329,-0.321,-0.241,-0.099,-0.347,-0.285,0.229,0.085,-0.272,-0.300,0.156,-0.176,0.8500
0.0650,-0.42440,-0.06118,-0.67286,0.58050,-0.04834,-0.95860,-0.52055,0.37781,-1.25759,0.44618,0.33818,-0.85568,0.332,-0.324,-0.243,-0.100,-0.349,-0.286,0.230,0.085,-0.272,-0.302,0.157,-0.175,0.8500
0.0700,-0.42495,-0.06063,-0.67245,0.58066,-0.04776,-0.95812,-0.52093,0.37767,-1.25714,0.44669,0.33791,-0.85539,0.333,-0.326,-0.244,-0.101,-0.351,-0.287,0.230,0.085,-0.272,-0.303,0.157,-0.175,0.8500
0.0750,-0.42542,-0.06008,-0.67205,0.58076,-0.04719,-0.95769,-0.52131,0.37753,-1.25668,0.44719,0.33765,-0.85510,0.268,-0.333,-0.242,-0.050,-0.341,-0.254,0.230,0.085,-0.272,-0.304,0.157,-0.175,0.8500
0.0800,-0.42580,-0.05952,-0.67164,0.58079,-0.04664,-0.95728,-0.52170,0.37738,-1.25623,0.44770,0.33739,-0.85481,0.217,-0.335,-0.244,-0.011,-0.327,-0.245,0.230,0.085,-0.272,-0.304,0.158,-0.175,0.8500
0.0850,-0.42611,-0.05896,-0.67124,0.58077,-0.04611,-0.95689,-0.52208,0.37724,-1.25578,0.44821,0.33713,-0.85452,0.176,-0.335,-0.245,0.019,-0.315,-0.237,0.230,0.085,-0.271,-0.304,0.158,-0.175,0.8500
0.0900,-0.42635,-0.05841,-0.67083,0.58071,-0.04559,-0.95650,-0.52246,0.37710,-1.25533,0.44871,0.33686,-0.85423,0.143,-0.334,-0.246,0.041,-0.306,-0.230,0.229,0.085,-0.271,-0.304,0.158,-0.175,0.8500
0.0950,-0.42656,-0.05785,-0.67042,0.58062,-0.04509,-0.95612,-0.52284,0.37696,-1.25487,0.44922,0.33660,-0.85393,0.117,-0.333,-0.246,0.057,-0.299,-0.225,0.229,0.085,-0.271,-0.303,0.157,-0.175,0.8500
0.1000,-0.42673,-0.05730,-0.67001,0.58051,-0.04460,-0.95576,-0.52322,0.37682,-1.25442,0.44972,0.33634,-0.85364,0.096,-0.331,-0.247,0.069,-0.293,-0.220,0.228,0.085,-0.271,-0.303,0.157,-0.175,0.8500
0.1050,-0.42686,-0.05675,-0.66959,0.58038,-0.04412,-0.95539,-0.52360,0.37668,-1.25397,0.45023,0.33608,-0.85335,0.080,-0.329,-0.247,0.078,-0.288,-0.216,0.227,0.085,-0.271,-0.302,0.157,-0.174,0.8500
0.1100,-0.42698,-0.05620,-0.66918,0.58024,-0.04365,-0.95504,-0.52398,0.37654,-1.25352,0.45073,0.33582,-0.85306,0.066,-0.327,-0.247,0.085,-0.283,-0.213,0.227,0.085,-0.271,-0.301,0.157,-0.174,0.8500
0.1150,-0.42707,-0.05566,-0.66877,0.58009,-0.04318,-0.95468,-0.52436,0.37640,-1.25307,0.45123,0.33556,-0.85277,0.056,-0.326,-0.247,0.089,-0.280,-0.211,0.226,0.084,-0.271,-0.301,0.157,-0.174,0.8500
0.1200,-0.42716,-0.05512,-0.66836,0.57994,-0.04272,-0.95433,-0.52473,0.37626,-1.25262,0.45173,0.33530,-0.85248,0.047,-0.324,-0.247,0.092,-0.277,-0.209,0.225,0.084,-0.271,-0.300,0.156,-0.174,0.8500
0.1250,-0.42723,-0.05458,-0.66794,0.57978,-0.04226,-0.95399,-0.52511,0.37612,-1.25217,0.45223,0.33504,-0.85219,0.041,-0.323,-0.247,0.095,-0.275,-0.208,0.225,0.084,-0.270,-0.299,0.156,-0.174,0.8500
0.1300,-0.42729,-0.05405,-0.66753,0.57962,-0.04181,-0.95364,-0.52548,0.37597,-1.25171,0.45273,0.33478,-0.85190,0.035,-0.321,-0.247,0.096,-0.273,-0.207,0.224,0.084,-0.270,-0.298,0.156,-0.174,0.8500
0.1350,-0.42734,-0.05351,-0.66712,0.57946,-0.04135,-0.95330,-0.52585,0.37583,-1.25126,0.45322,0.33452,-0.85161,0.031,-0.320,-0.247,0.097,-0.271,-0.206,0.223,0.084,-0.270,-0.297,0.156,-0.174,0.8500
0.1400,-0.42739,-0.05298,-0.66671,0.57930,-0.04090,-0.95296,-0.52623,0.37569,-1.25081,0.45372,0.33426,-0.85132,0.028,-0.319,-0.247,0.097,-0.269,-0.205,0.223,0.084,-0.270,-0.296,0.155,-0.174,0.8500
0.1450,-0.42743,-0.05245,-0.66630,0.57914,-0.04046,-0.95262,-0.52660,0.37555,-1.25036,0.45421,0.33400,-0.85103,0.025,-0.318,-0.247,0.098,-0.268,-0.205,0.222,0.084,-0.270,-0.295,0.155,-0.174,0.8500
0.1500,-0.42747,-0.05192,-0.66589,0.57897,-0.04001,-0.95228,-0.52696,0.37541,-1.24991,0.45470,0.33374,-0.85074,0.024,-0.317,-0.246,0.098,-0.267,-0.204,0.221,0.084,-0.270,-0.294,0.155,-0.174,0.8500
0.1550,-0.42751,-0.05139,-0.66548,0.57881,-0.03957,-0.95194,-0.52733,0.37527,-1.24947,0.45519,0.33348,-0.85045,0.022,-0.316,-0.246,0.098,-0.266,-0.204,0.220,0.084,-0.270,-0.293,0.154,-0.174,0.8500
0.1600,-0.42754,-0.05087,-0.66507,0.57865,-0.03913,-0.95160,-0.52770,0.37514,-1.24902,0.45568,0.33323,-0.85016,0.021,-0.316,-0.246,0.097,-0.265,-0.204,0.220,0.084,-0.269,-0.293,0.154,-0.174,0.8500
0.1650,-0.42758,-0.05034,-0.66466,0.57849,-0.03869,-0.95126,-0.52806,0.37500,-1.24857,0.45616,0.33297,-0.84987,0.020,-0.315,-0.245,0.097,-0.264,-0.204,0.219,0.084,-0.269,-0.292,0.154,-0.174,0.8500
0.1700,-0.42761,-0.04982,-0.66425,0.57832,-0.03825,-0.95092,-0.52843,0.37486,-1.24812,0.45665,0.33271,-0.84958,0.020,-0.314,-0.245,0.097,-0.264,-0.204,0.218,0.084,-0.269,-0.291,0.154,-0.174,0.8500
0.1750,-0.42764,-0.04929,-0.66384,0.57816,-0.03781,-0.95058,-0.52879,0.37472,-1.24767,0.45713,0.33246,-0.84929,0.019,-0.314,-0.245,0.097,-0.263,-0.204,0.217,0.083,-0.269,-0.290,0.153,-0.174,0.8500
0.1800,-0.42768,-0.04877,-0.66343,0.57800,-0.03737,-0.95024,-0.52915,0.37458,-1.24722,0.45761,0.33220,-0.84900,0.019,-0.313,-0.245,0.096,-0.262,-0.204,0.217,0.083,-0.269,-0.289,0.153,-0.174,0.8500
0.1850,-0.42771,-0.04825,-0.66303,0.57784,-0.03693,-0.94990,-0.52951,0.37444,-1.24677,0.45809,0.33195,-0.84871,0.019,-0.312,-0.244,0.096,-0.262,-0.204,0.216,0.083,-0.269,-0.288,0.153,-0.173,0.8500
0.1900,-0.42774,-0.04773,-0.66262,0.57768,-0.03650,-0.94956,-0.52987,0.37430,-1.24633,0.45857,0.33169,-0.84843,0.019,-0.312,-0.244,0.095,-0.261,-0.204,0.215,0.083,-0.269,-0.287,0.152,-0.173,0.8500
0.1950,-0.42777,-0.04721,-0.66221,0.57753,-0.03606,-0.94922,-0.53023,0.37416,-1.24588,0.45905,0.33144,-0.84814,0.019,-0.311,-0.244,0.095,-0.261,-0.203,0.215,0.083,-0.269,-0.286,0.152,-0.173,0.8500
0.2000,-0.42780,-0.04670,-0.66181,0.57737,-0.03563,-0.94888,-0.53059,0.37402,-1.24543,0.45952,0.33119,-0.84785,0.019,-0.310,-0.244,0.095,-0.260,-0.203,0.214,0.083,-0.268,-0.285,0.152,-0.173,0.8500
0.2050,-0.42783,-0.04618,-0.66140,0.57721,-0.03520,-0.94854,-0.53094,0.37389,-1.24498,0.46000,0.33094,-0.84756,0.019,-0.310,-0.243,0.094,-0.259,-0.203,0.213,0.083,-0.268,-0.284,0.152,-0.173,0.8500
0.2100,-0.42787,-0.04566,-0.66099,0.57705,-0.03477,-0.94820,-0.53130,0.37375,-1.24454,0.46047,0.33068,-0.84727,0.019,-0.309,-0.243,0.094,-0.259,-0.203,0.213,0.083,-0.268,-0.283,0.151,-0.173,0.8500
0.2150,-0.42790,-0.04515,-0.66059,0.57690,-0.03433,-0.94786,-0.53165,0.37361,-1.24409,0.46094,0.33043,-0.84698,0.019,-0.308,-0.243,0.094,-0.258,-0.203,0.212,0.083,-0.268,-0.282,0.151,-0.173,0.8500
0.2200,-0.42793,-0.04464,-0.66018,0.57674,-0.03390,-0.94753,-0.53200,0.37347,-1.24364,0.46141,0.33018,-0.84669,0.019,-0.308,-0.243,0.093,-0.258,-0.203,0.211,0.083,-0.268,-0.281,0.151,-0.173,0.8500
0.2250,-0.42796,-0.04412,-0.65978,0.57659,-0.03348,-0.94719,-0.53235,0.37333,-1.24320,0.46188,0.32993,-0.84641,0.019,-0.307,-0.243,0.093,-0.257,-0.203,0.210,0.083,-0.268,-0.281,0.150,-0.173,0.8500
0.2300,-0.42800,-0.04361,-0.65938,0.57643,-0.03305,-0.94685,-0.53270,0.37320,-1.24275,0.46234,0.32968,-0.84612,0.019,-0.307,-0.242,0.093,-0.257,-0.203,0.210,0.083,-0.268,-0.280,0.150,-0.173,0.8500
0.2350,-0.42803,-0.04310,-0.65897,0.57628,-0.03262,-0.94651,-0.53305,0.37306,-1.24231,0.46281,0.32943,-0.84583,0.020,-0.306,-0.242,0.092,-0.256,-0.203,0.209,0.083,-0.267,-0.279,0.150,-0.173,0.8500
0.2400,-0.42806,-0.04259,-0.65857,0.57612,-0.03219,-0.94617,-0.53340,0.37292,-1.24186,0.46327,0.32918,-0.84554,0.020,-0.306,-0.242,0.092,-0.256,-0.203,0.208,0.082,-0.267,-0.278,0.150,-0.173,0.8500
0.2450,-0.42809,-0.04209,-0.65817,0.57597,-0.03177,-0.94583,-0.53374,0.37278,-1.24141,0.46374,0.32893,-0.84525,0.020,-0.305,-0.242,0.092,-0.255,-0.203,0.208,0.082,-0.267,-0.277,0.149,-0.173,0.8500
0.2500,-0.42813,-0.04158,-0.65776,0.57582,-0.03134,-0.94549,-0.53409,0.37265,-1.24097,0.46420,0.32868,-0.84497,0.020,-0.304,-0.241,0.091,-0.255,-0.203,0.207,0.082,-0.267,-0.276,0.149,-0.173,0.8500
0.2550,-0.42816,-0.04107,-0.65736,0.57566,-0.03092,-0.94515,-0.53443,0.37251,-1.24052,0.46465,0.32843,-0.84468,0.020,-0.304,-0.241,0.091,-0.254,-0.203,0.206,0.082,-0.267,-0.275,0.149,-0.173,0.8500
0.2600,-0.42819,-0.04057,-0.65696,0.57551,-0.03050,-0.94481,-0.53478,0.37237,-1.24008,0.46511,0.32819,-0.84439,0.020,-0.303,-0.241,0.091,-0.254,-0.203,0.206,0.082,-0.267,-0.274,0.149,-0.173,0.8500
0.2650,-0.42823,-0.04006,-0.65656,0.57536,-0.03007,-0.94447,-0.53512,0.37223,-1.23964,0.46557,0.32794,-0.84410,0.020,-0.303,-0.241,0.091,-0.253,-0.203,0.205,0.082,-0.267,-0.273,0.148,-0.173,0.8500
0.2700,-0.42826,-0.03956,-0.65616,0.57521,-0.02965,-0.94413,-0.53546,0.37210,-1.23919,0.46602,0.32769,-0.84381,0.020,-0.302,-0.241,0.090,-0.253,-0.203,0.204,0.082,-0.267,-0.273,0.148,-0.172,0.8500
0.2750,-0.42829,-0.03906,-0.65576,0.57506,-0.02923,-0.94380,-0.53580,0.37196,-1.23875,0.46648,0.32745,-0.84353,0.020,-0.301,-0.240,0.090,-0.252,-0.203,0.204,0.082,-0.266,-0.272,0.148,-0.172,0.8500
0.2800,-0.42833,-0.03855,-0.65536,0.57491,-0.02881,-0.94346,-0.53614,0.37182,-1.23830,0.46693,0.32720,-0.84324,0.020,-0.301,-0.240,0.090,-0.252,-0.203,0.203,0.082,-0.266,-0.271,0.147,-0.172,0.8500
0.2850,-0.42836,-0.03805,-0.65496,0.57476,-0.02839,-0.94312,-0.53648,0.37169,-1.23786,0.46738,0.32695,-0.84295,0.020,-0.300,-0.240,0.089,-0.251,-0.203,0.202,0.082,-0.266,-0.270,0.147,-0.172,0.8500
0.2900,-0.42839,-0.03755,-0.65456,0.57461,-0.02798,-0.94278,-0.53681,0.37155,-1.23742,0.46783,0.32671,-0.84267,0.020,-0.300,-0.240,0.089,-0.251,-0.203,0.202,0.082,-0.266,-0.269,0.147,-0.172,0.8500
0.2950,-0.42843,-0.03705,-0.65416,0.57447,-0.02756,-0.94244,-0.53715,0.37142,-1.23697,0.46827,0.32647,-0.84238,0.020,-0.299,-0.240,0.089,-0.250,-0.203,0.201,0.082,-0.266,-0.268,0.147,-0.172,0.8500
0.3000,-0.42846,-0.03656,-0.65376,0.57432,-0.02714,-0.94210,-0.53748,0.37128,-1.23653,0.46872,0.32622,-0.84209,0.020,-0.299,-0.239,0.088,-0.250,-0.203,0.200,0.082,-0.266,-0.267,0.146,-0.172,0.8500
0.3050,-0.42850,-0.03606,-0.65336,0.57417,-0.02673,-0.94176,-0.53781,0.37114,-1.23609,0.46916,0.32598,-0.84181,0.020,-0.298,-0.239,0.088,-0.249,-0.203,0.200,0.082,-0.266,-0.266,0.146,-0.172,0.8500
0.3100,-0.42853,-0.03556,-0.65296,0.57403,-0.02631,-0.94142,-0.53813,0.37101,-1.23565,0.46960,0.32574,-0.84152,0.021,-0.297,-0.239,0.088,-0.249,-0.203,0.188,0.082,-0.255,-0.255,0.142,-0.168,0.8500
0.3150,-0.42856,-0.03507,-0.65256,0.57388,-0.02590,-0.94109,-0.53838,0.37086,-1.23526,0.46995,0.32551,-0.84124,0.021,-0.297,-0.239,0.088,-0.248,-0.203,0.137,0.092,-0.237,-0.205,0.133,-0.170,0.8500
0.3200,-0.42860,-0.03458,-0.65217,0.57373,-0.02549,-0.94075,-0.53855,0.37069,-1.23487,0.47024,0.32530,-0.84095,0.021,-0.296,-0.238,0.087,-0.248,-0.203,0.099,0.100,-0.228,-0.166,0.126,-0.172,0.8500
0.3250,-0.42863,-0.03408,-0.65177,0.57359,-0.02507,-0.94041,-0.53868,0.37052,-1.23450,0.47048,0.32510,-0.84066,0.021,-0.296,-0.238,0.087,-0.247,-0.203,0.071,0.106,-0.221,-0.134,0.121,-0.174,0.8500
0.3300,-0.42867,-0.03359,-0.65137,0.57344,-0.02466,-0.94007,-0.53877,0.37034,-1.23414,0.47066,0.32490,-0.84037,0.021,-0.295,-0.238,0.087,-0.246,-0.203,0.051,0.111,-0.215,-0.108,0.116,-0.176,0.8500
0.3350,-0.42870,-0.03310,-0.65098,0.57330,-0.02425,-0.93973,-0.53884,0.37015,-1.23379,0.47082,0.32471,-0.84008,0.021,-0.294,-0.238,0.086,-0.246,-0.203,0.035,0.114,-0.211,-0.087,0.113,-0.177,0.8500
0.3400,-0.42874,-0.03261,-0.65058,0.57316,-0.02384,-0.93939,-0.53888,0.36995,-1.23344,0.47094,0.32453,-0.83978,0.021,-0.294,-0.238,0.086,-0.245,-0.203,0.024,0.117,-0.206,-0.070,0.110,-0.179,0.8500
0.3450,-0.42877,-0.03212,-0.65018,0.57301,-0.02344,-0.93905,-0.53891,0.36975,-1.23310,0.47104,0.32435,-0.83948,0.021,-0.293,-0.237,0.086,-0.245,-0.203,0.016,0.119,-0.202,-0.056,0.107,-0.182,0.8500
0.3500,-0.42881,-0.03163,-0.64979,0.57287,-0.02303,-0.93872,-0.53893,0.36955,-1.23277,0.47112,0.32417,-0.83917,0.021,-0.293,-0.237,0.086,-0.244,-0.203,0.011,0.121,-0.198,-0.045,0.105,-0.184,0.8500
0.3550,-0.42884,-0.03115,-0.64939,0.57273,-0.02262,-0.93838,-0.53894,0.36935,-1.23245,0.47118,0.32400,-0.83886,0.021,-0.292,-0.237,0.085,-0.244,-0.203,0.008,0.123,-0.195,-0.035,0.103,-0.186,0.8500
0.3600,-0.42888,-0.03066,-0.64900,0.57259,-0.02222,-0.93804,-0.53895,0.36914,-1.23213,0.47123,0.32383,-0.83855,0.021,-0.292,-0.237,0.085,-0.243,-0.203,0.006,0.125,-0.192,-0.028,0.100,-0.188,0.8500
0.3650,-0.42891,-0.03017,-0.64861,0.57245,-0.02181,-0.93770,-0.53896,0.36893,-1.23181,0.47126,0.32367,-0.83823,0.021,-0.291,-0.237,0.085,-0.243,-0.203,0.004,0.126,-0.190,-0.021,0.099,-0.190,0.8500
0.3700,-0.42895,-0.02969,-0.64821,0.57230,-0.02141,-0.93736,-0.53897,0.36872,-1.23149,0.47129,0.32351,-0.83791,0.021,-0.291,-0.236,0.084,-0.242,-0.203,0.004,0.127,-0.189,-0.016,0.097,-0.191,0.8500
0.3750,-0.42898,-0.02921,-0.64782,0.57216,-0.02100,-0.93702,-0.53897,0.36851,-1.23118,0.47131,0.32335,-0.83760,0.021,-0.290,-0.236,0.084,-0.242,-0.203,0.004,0.128,-0.188,-0.012,0.096,-0.191,0.8500
0.3800,-0.42902,-0.02872,-0.64742,0.57202,-0.02060,-0.93669,-0.53898,0.36829,-1.23087,0.47133,0.32319,-0.83728,0.021,-0.289,-0.236,0.084,-0.241,-0.203,0.004,0.128,-0.187,-0.009,0.095,-0.192,0.8500
0.3850,-0.42905,-0.02824,-0.64703,0.57189,-0.02020,-0.93635,-0.53898,0.36808,-1.23056,0.47134,0.32303,-0.83695,0.021,-0.289,-0.236,0.083,-0.241,-0.203,0.004,0.129,-0.186,-0.007,0.094,-0.192,0.8500
0.3900,-0.42909,-0.02776,-0.64664,0.57175,-0.01980,-0.93601,-0.53899,0.36787,-1.23025,0.47135,0.32287,-0.83663,0.021,-0.288,-0.235,0.083,-0.240,-0.203,0.004,0.129,-0.186,-0.005,0.093,-0.193,0.8500
0.3950,-0.42913,-0.02728,-0.64625,0.57161,-0.01940,-0.93567,-0.53900,0.36765,-1.22994,0.47136,0.32272,-0.83631,0.022,-0.288,-0.235,0.083,-0.240,-0.203,0.004,0.129,-0.186,-0.004,0.093,-0.193,0.8500
0.4000,-0.42916,-0.02680,-0.64586,0.57147,-0.01900,-0.93533,-0.53900,0.36744,-1.22963,0.47136,0.32257,-0.83599,0.022,-0.287,-0.235,0.083,-0.239,-0.203,0.004,0.129,-0.186,-0.003,0.092,-0.193,0.8500
0.4050,-0.42920,-0.02632,-0.64546,0.57133,-0.01860,-0.93500,-0.53901,0.36722,-1.22932,0.47137,0.32241,-0.83567,0.022,-0.287,-0.235,0.082,-0.239,-0.203,0.004,0.129,-0.186,-0.002,0.092,-0.193,0.8500
0.4100,-0.42923,-0.02585,-0.64507,0.57120,-0.01820,-0.93466,-0.53902,0.36701,-1.22901,0.47137,0.32226,-0.83535,0.022,-0.286,-0.235,0.082,-0.238,-0.203,0.005,0.129,-0.186,-0.002,0.092,-0.193,0.8500
0.4150,-0.42927,-0.02537,-0.64468,0.57106,-0.01781,-0.93432,-0.53903,0.36679,-1.22869,0.47137,0.32211,-0.83503,0.022,-0.286,-0.234,0.082,-0.238,-0.203,0.005,0.129,-0.186,-0.002,0.091,-0.192,0.8500
0.4200,-0.42931,-0.02490,-0.64429,0.57093,-0.01741,-0.93398,-0.53903,0.36658,-1.22838,0.47138,0.32195,-0.83471,0.022,-0.285,-0.234,0.081,-0.237,-0.203,0.005,0.129,-0.187,-0.001,0.091,-0.192,0.8500
0.4250,-0.42934,-0.02442,-0.64390,0.57079,-0.01702,-0.93364,-0.53904,0.36636,-1.22807,0.47138,0.32180,-0.83439,0.022,-0.284,-0.234,0.081,-0.237,-0.203,0.005,0.129,-0.187,-0.001,0.091,-0.192,0.8500
0.4300,-0.42938,-0.02395,-0.64351,0.57066,-0.01662,-0.93331,-0.53905,0.36615,-1.22776,0.47138,0.32165,-0.83407,0.022,-0.284,-0.234,0.081,-0.236,-0.203,0.005,0.128,-0.187,-0.002,0.091,-0.192,0.8500
0.4350,-0.42942,-0.02348,-0.64312,0.57052,-0.01623,-0.93297,-0.53906,0.36593,-1.22745,0.47138,0.32150,-0.83375,0.022,-0.283,-0.234,0.080,-0.236,-0.203,0.005,0.128,-0.187,-0.002,0.091,-0.192,0.8500
0.4400,-0.42945,-0.02300,-0.64273,0.57039,-0.01584,-0.93263,-0.53907,0.36572,-1.22714,0.47139,0.32135,-0.83343,0.022,-0.283,-0.233,0.080,-0.235,-0.202,0.005,0.128,-0.187,-0.002,0.091,-0.192,0.8500
0.4450,-0.42949,-0.02253,-0.64234,0.57026,-0.01545,-0.93229,-0.53908,0.36551,-1.22683,0.47139,0.32120,-0.83311,0.022,-0.282,-0.233,0.080,-0.235,-0.202,0.005,0.128,-0.187,-0.002,0.091,-0.192,0.8500
0.4500,-0.42953,-0.02206,-0.64196,0.57012,-0.01506,-0.93196,-0.53909,0.36529,-1.22652,0.47139,0.32105,-0.83279,0.022,-0.282,-0.233,0.079,-0.234,-0.202,0.005,0.128,-0.187,-0.002,0.091,-0.192,0.8500
0.4550,-0.42956,-0.02160,-0.64157,0.56999,-0.01467,-0.93162,-0.53909,0.36508,-1.22620,0.47140,0.32090,-0.83247,0.022,-0.281,-0.233,0.079,-0.234,-0.202,0.005,0.128,-0.187,-0.002,0.090,-0.192,0.8500
0.4600,-0.42960,-0.02113,-0.64118,0.56986,-0.01428,-0.93128,-0.53910,0.36487,-1.22589,0.47140,0.32074,-0.83215,0.022,-0.281,-0.233,0.079,-0.233,-0.202,0.005,0.127,-0.187,-0.002,0.090,-0.192,0.8500
0.4650,-0.42964,-0.02066,-0.64079,0.56973,-0.01389,-0.93095,-0.53911,0.36466,-1.22558,0.47140,0.32059,-0.83183,0.022,-0.280,-0.232,0.079,-0.233,-0.202,0.005,0.127,-0.187,-0.002,0.090,-0.192,0.8500
0.4700,-0.42968,-0.02019,-0.64041,0.56960,-0.01351,-0.93061,-0.53912,0.36445,-1.22527,0.47141,0.32044,-0.83151,0.023,-0.279,-0.232,0.078,-0.232,-0.202,0.005,0.127,-0.187,-0.002,0.090,-0.192,0.8500
0.4750,-0.42971,-0.01973,-0.64002,0.56947,-0.01312,-0.93027,-0.53913,0.36423,-1.22495,0.47141,0.32029,-0.83119,0.023,-0.279,-0.232,0.078,-0.232,-0.202,0.005,0.127,-0.187,-0.002,0.090,-0.191,0.8500
0.4800,-0.42975,-0.01927,-0.63963,0.56934,-0.01273,-0.92993,-0.53914,0.36402,-1.22464,0.47141,0.32014,-0.83087,0.023,-0.278,-0.232,0.078,-0.231,-0.202,0.005,0.127,-0.187,-0.002,0.090,-0.191,0.8500
0.4850,-0.42979,-0.01880,-0.63925,0.56921,-0.01235,-0.92960,-0.53914,0.36381,-1.22433,0.47142,0.32000,-0.83055,0.023,-0.278,-0.232,0.077,-0.230,-0.202,0.005,0.127,-0.187,-0.002,0.090,-0.191,0.8500
0.4900,-0.42983,-0.01834,-0.63886,0.56908,-0.01197,-0.92926,-0.53915,0.36360,-1.22402,0.47142,0.31985,-0.83023,0.023,-0.277,-0.231,0.077,-0.230,-0.202,0.005,0.126,-0.187,-0.002,0.090,-0.191,0.8500
0.4950,-0.42987,-0.01788,-0.63848,0.56895,-0.01158,-0.92892,-0.53916,0.36339,-1.22371,0.47143,0.31970,-0.82992,0.023,-0.277,-0.231,0.077,-0.229,-0.202,0.005,0.126,-0.187,-0.002,0.089,-0.191,0.8500
0.5000,-0.42990,-0.01742,-0.63809,0.56882,-0.01120,-0.92859,-0.53917,0.36318,-1.22339,0.47143,0.31955,-0.82960,0.023,-0.276,-0.231,0.077,-0.229,-0.202,0.005,0.126,-0.187,-0.002,0.089,-0.191,0.8500
0.5050,-0.42994,-0.01696,-0.63771,0.56870,-0.01082,-0.92825,-0.53918,0.36297,-1.22308,0.47143,0.31940,-0.82928,0.023,-0.276,-0.231,0.076,-0.228,-0.202,0.005,0.126,-0.187,-0.003,0.089,-0.191,0.8500
0.5100,-0.42998,-0.01650,-0.63732,0.56857,-0.01044,-0.92791,-0.53919,0.36276,-1.22277,0.47144,0.31925,-0.82896,0.023,-0.275,-0.230,0.076,-0.228,-0.202,0.005,0.126,-0.187,-0.003,0.089,-0.191,0.8500
